Concat_Subtype_Element_Type,Weightings,Varient_Commment
Control Building_Civils,4,NULL
Control Building_Climate Control,NULL,NULL
Control Building_Datum Plates and Markers,2,NULL
Control Building_Datum Plates and Markers,7,If critical for datacalibration / qualitychecks.
Control Building_Distribution Board,NULL,NULL
Control Building_Distribution Network Operator Feeder,NULL,NULL
Control Building_Doors and Windows,6,NULL
Control Building_Doors and Windows,9,If element is critical foraccess/egress/security
Control Building_Drainage System,5,NULL
Control Building_Drainage System,9,"if failure could not bemitigated and wouldcause a H,S&W /pollution incident."
Control Building_Electrical System,NULL,NULL
Control Building_Electricity Meter,NULL,NULL
Control Building_Electricity Sub Meter,NULL,NULL
Control Building_Equipment Housing,4,NULL
Control Building_Equipment Housing,6,"If equipment containedwithin element is notindependentlyweatherproof,independently securedor poses a safety risk."
Control Building_Equipment Mounting Board,3,NULL
Control Building_Equipment Mounting Board,9,if board supportsequipment critical tothe operation of theasset and the lack ofsupport would makethem inoperable.
Control Building_External Features,4,NULL
Control Building_External Features,6,if feature protectsstructural elementsfrom deterioration orrequired for security.
Control Building_External Walls,8,NULL
Control Building_External Walls,9,If element deemed tobe load bearing orrequired for security
Control Building_Fastenings,7,NULL
Control Building_Fastenings,1,if item secured and itdoes not directlycontribute towards the
Control Building_Fire Protection,NULL,NULL
Control Building_Fixed Fall Arrest System,NULL,NULL
Control Building_Fixings,3,NULL
Control Building_Floor,8,NULL
Control Building_Floor,9,if affected area can't beisolated and preventsthe operation of theasset as a whole.
Control Building_Foundation,9,NULL
Control Building_Frame,8,NULL
Control Building_Frame,9,If structure is of majorsignificance and failurewill compromiseoperation.
Control Building_Fuel Cell,NULL,NULL
Control Building_Gas System,NULL,NULL
Control Building_Grassed Elements,1,NULL
Control Building_Habitat Enhancement,1,NULL
Control Building_Heating System,NULL,NULL
Control Building_Hydro Turbine,NULL,NULL
Control Building_Incomer,NULL,NULL
Control Building_Internal Features,1,NULL
Control Building_Internal Walls,4,NULL
Control Building_Internal Walls,9,If load bearing or criticalfor security or noisecontrol.
Control Building_Ladder,3,NULL
Control Building_Ladder,1,if element doesn'tcontribute to primaryfunction of the asset
Control Building_Lighting,NULL,NULL
Control Building_Maintenance Hole,3,NULL
Control Building_Maintenance Hole,6,If element provides solemeans of undertakingmaintenance orinspection activity.
Control Building_Padlock or Lock,6,NULL
Control Building_Padlock or Lock,9,if critical to theoperation of the asset
Control Building_Planted Elements,1,NULL
Control Building_Roller Shutters,6,NULL
Control Building_Roller Shutters,9,If element is critical foraccess/egress/security
Control Building_Roof,8,NULL
Control Building_Roof,9,If element is critical forsecurity or building is ofmajor significance
Control Building_Security Camera,1,NULL
Control Building_Security Camera,6,If Asset has a history ofsuffering from criminalactivity and the camerais a critical element ofthe security systemprotecting the Asset.
Control Building_Sewage Treatment System,NULL,NULL
Control Building_Solar Panel,NULL,NULL
Control Building_Structural Steelwork,9,NULL
Control Building_Substructure,8,NULL
Control Building_Substructure,9,if function /performance of theasset beingcompromised.
Control Building_Transformer,NULL,NULL
Control Building_Treads and Risers,3,NULL
Control Building_Treads and Risers,7,if required foroperational access.
Control Building_Uninterruptible Power Supply,NULL,NULL
Control Building_Ventilation System,NULL,NULL
Control Building_Waste Disposal System,NULL,NULL
Control Building_Water Supply Plumbing System,9,NULL
Control Building_Wind Turbine,NULL,NULL
Control Gate_Actuator,NULL,NULL
Control Gate_Alternator,NULL,NULL
Control Gate_Apron,5,NULL
Control Gate_Apron,3,If apron structure is ofminor significance andfailure will not induceasset failure.
Control Gate_Balance Beam,9,NULL
Control Gate_Balance Weight,NULL,NULL
Control Gate_Cathodic Protection,NULL,NULL
Control Gate_Central Support Structure,6,NULL
Control Gate_Central Support Structure,4,If structure is minor andfailure will not lead tosudden release ofhazardous flows.
Control Gate_Chains,NULL,NULL
Control Gate_Cill,9,NULL
Control Gate_Cill,7,If gate is used to retainwater intermittently forshort periods (e.g. floodmanagement)
Control Gate_Dampers,NULL,NULL
Control Gate_Davit,NULL,NULL
Control Gate_Displacer System,NULL,NULL
Control Gate_Distribution Board,NULL,NULL
Control Gate_Distribution Network Operator Feeder,NULL,NULL
Control Gate_Drive Assembly,9,NULL
Control Gate_Electrical System,NULL,NULL
Control Gate_Electricity Meter,NULL,NULL
Control Gate_Electricity Sub Meter,NULL,NULL
Control Gate_Face Plate,6,NULL
Control Gate_Face Plate,9,If gate is critical to theoperation of the Asset
Control Gate_Fixed Fall Arrest System,NULL,NULL
Control Gate_Flap Valve,9,NULL
Control Gate_Flap Valve,7,If a secondary nonreturn valve or penstockis installed.
Control Gate_Foghorn,NULL,NULL
Control Gate_Frame,7,NULL
Control Gate_Frame,9,If structure is of majorsignificance and failurewill compromiseoperation.
Control Gate_Fuel Cell,NULL,NULL
Control Gate_Gantry,1,NULL
Control Gate_Gantry,5,If failure wouldcompromise operation.
Control Gate_Gate,9,NULL
Control Gate_Gearbox,NULL,NULL
Control Gate_Hydro Turbine,NULL,NULL
Control Gate_Incomer,NULL,NULL
Control Gate_Jib Crane,NULL,NULL
Control Gate_Ladder,3,NULL
Control Gate_Ladder,5,"if element is consideredcritical to access, egressor security or to theoverall asset function."
Control Gate_Left Bank Wall,6,NULL
Control Gate_Left Bank Wall,4,If asset is minor andfailure will notcompromise operation.
Control Gate_Lifting Chains and Sprockets,NULL,NULL
Control Gate_Lifting Ropes and Drums,NULL,NULL
Control Gate_Motor,NULL,NULL
Control Gate_Navigation Light,3,NULL
Control Gate_Overhead Crane,NULL,NULL
Control Gate_Pontoon,1,NULL
Control Gate_Right Bank Wall,6,NULL
Control Gate_Right Bank Wall,4,If asset is minor andfailure will notcompromise operation.
Control Gate_Seals,7,NULL
Control Gate_Solar Panel,NULL,NULL
Control Gate_Springs,NULL,NULL
Control Gate_Stoplogs and Lasherboards,3,NULL
Control Gate_Stoplogs and Lasherboards,9,If required to performfrequent maintenanceor inspection activitiesactivities
Control Gate_Structural Steelwork,9,NULL
Control Gate_Struts and Bracing,7,NULL
Control Gate_Transformer,NULL,NULL
Control Gate_Treads and Risers,3,NULL
Control Gate_Treads and Risers,7,if required foroperational access.
Control Gate_Uninterruptible Power Supply,NULL,NULL
Control Gate_Winch,NULL,NULL
Control Gate_Wind Turbine,NULL,NULL
Control Gate_Wire Ropes,NULL,NULL
Debris Boom_Access Strip,6,NULL
Debris Boom_Access Strip,3,If an alternate accessfor regular maintenanceis available.
Debris Boom_Anchor and Chain,9,NULL
Debris Boom_Barrier Fixings,7,NULL
Debris Boom_Barrier Fixings,9,If full barrier isdependent on this fixingor just one other.
Debris Boom_Bearing Piling,7,NULL
Debris Boom_Bearing Piling,9,If more than one pile
Debris Boom_Central Support Structure,6,NULL
Debris Boom_Central Support Structure,4,If element is minor andfailure will neithercompromise operationnor lead to suddenrelease of large volumesof water or debris.
Debris Boom_Fastenings,7,NULL
Debris Boom_Fastenings,1,if item secured and itdoes not directlycontribute towards theperformance of theassets.
Debris Boom_Fixings,6,NULL
Debris Boom_Fixings,9,If fixing is critical tosecurity/structure ofasset.
Debris Boom_Floats,7,NULL
Debris Boom_Floats,4,If sole function is toprotect piles.
Debris Boom_Gantry,1,NULL
Debris Boom_Gantry,5,If failure wouldcompromise operation.
Debris Boom_Guide Pile,9,NULL
Debris Boom_Guide Pile,7,If single guide pile.
Debris Boom_Ladder,3,NULL
Debris Boom_Ladder,1,if element doesn'tcontribute to primaryfunction of the asset
Debris Boom_Left Bank Wall,6,NULL
Debris Boom_Left Bank Wall,4,If asset is minor andfailure will notcompromise operation.
Debris Boom_Padlock or Lock,6,NULL
Debris Boom_Padlock or Lock,9,if critical to theoperation of the asset
Debris Boom_Piling,7,NULL
Debris Boom_Piling,9,If more than one pile
Debris Boom_Post,9,NULL
Debris Boom_Right Bank Wall,6,NULL
Debris Boom_Right Bank Wall,4,If asset is minor andfailure will notcompromise operation.
Debris Boom_Ropes,9,NULL
Debris Boom_Treads and Risers,3,NULL
Debris Boom_Treads and Risers,7,if required foroperational access.
Debris Screen_Access Point,9,NULL
Debris Screen_Access Point,3,"If an alternate access isavailable, for operationof the asset."
Debris Screen_Access Strip,9,NULL
Debris Screen_Access Strip,3,"If an alternate access isavailable, for operationof the asset."
Debris Screen_Alternator,NULL,NULL
Debris Screen_Articulated Arm,NULL,NULL
Debris Screen_Balustrade,4,NULL
Debris Screen_Balustrade,9,If element required forsafe manual operation
Debris Screen_Central Support Structure,6,NULL
Debris Screen_Central Support Structure,4,If element is minor andfailure will neithercompromise operationnor lead to suddenrelease of large volumesof water or debris.
Debris Screen_Cover or Hatch,1,NULL
Debris Screen_Davit,NULL,NULL
Debris Screen_Distribution Board,NULL,NULL
Debris Screen_Distribution Network Operator Feeder,NULL,NULL
Debris Screen_Electrical System,NULL,NULL
Debris Screen_Electricity Meter,NULL,NULL
Debris Screen_Electricity Sub Meter,NULL,NULL
Debris Screen_Equipment Housing,4,NULL
Debris Screen_Equipment Housing,6,"If equipment containedwithin element is notindependentlyweatherproof,independently securedor poses a safety risk."
Debris Screen_Fill,NULL,NULL
Debris Screen_Fixed Fall Arrest System,NULL,NULL
Debris Screen_Foundation,9,NULL
Debris Screen_Frame,7,NULL
Debris Screen_Frame,9,If structure is of majorsignificance and failurewill compromiseoperation.
Debris Screen_Fuel Cell,NULL,NULL
Debris Screen_Gantry,1,NULL
Debris Screen_Gantry,5,If failure wouldcompromise operation.
Debris Screen_Gearbox,NULL,NULL
Debris Screen_Ground Anchors,6,NULL
Debris Screen_Handrail,4,NULL
Debris Screen_Handrail,7,If element required forsafe operation.
Debris Screen_Heating System,NULL,NULL
Debris Screen_Hydro Turbine,NULL,NULL
Debris Screen_Incomer,NULL,NULL
Debris Screen_Ladder,3,NULL
Debris Screen_Ladder,5,"if element is consideredcritical to access, egressor security or to theoverall asset function."
Debris Screen_Left Bank Wall,6,NULL
Debris Screen_Left Bank Wall,4,If asset is minor andfailure will notcompromise operation.
Debris Screen_Motor,NULL,NULL
Debris Screen_Overhead Crane,NULL,NULL
Debris Screen_Padlock or Lock,6,NULL
Debris Screen_Padlock or Lock,9,if critical to theoperation of the asset
Debris Screen_Right Bank Wall,6,NULL
Debris Screen_Right Bank Wall,4,If asset is minor andfailure will notcompromise operation.
Debris Screen_Rotating Comb,8,NULL
Debris Screen_Rotating Comb,9,if no alternative meansof clearing the screen
Debris Screen_Rotating Drum,8,NULL
Debris Screen_Rotating Drum,9,If no alternative meansof clearing the screen
Debris Screen_Screen,8,NULL
Debris Screen_Silt Trap,1,NULL
Debris Screen_Silt Trap,5,"If watercourse is steep,upland and/or carriesheavy sediment load."
Debris Screen_Solar Panel,NULL,NULL
Debris Screen_Structural Steelwork,9,NULL
Debris Screen_Transformer,NULL,NULL
Debris Screen_Treads and Risers,3,NULL
Debris Screen_Treads and Risers,7,if required foroperational access.
Debris Screen_Uninterruptible Power Supply,NULL,NULL
Debris Screen_Upstream Headwall,6,NULL
Debris Screen_Upstream Headwall,8,If critical for flow orlevel monitoring.
Debris Screen_Vertical Grab,NULL,NULL
Debris Screen_Winch,NULL,NULL
Debris Screen_Wind Turbine,NULL,NULL
Demountable Defence_Barrier,9,NULL
Demountable Defence_Barrier Fixings,7,NULL
Demountable Defence_Barrier Fixings,9,If full barrier isdependent on this fixingor just one other.
Demountable Defence_Berm,5,NULL
Demountable Defence_Berm,7,If less than 3 metreswide.
Demountable Defence_Channel Side,5,NULL
Demountable Defence_Channel Side,7,If less than 3 metreshorizontally from asset.
Demountable Defence_Open Gap,7,NULL
Demountable Defence_Seals,7,NULL
Demountable Defence_Shore,5,NULL
Demountable Defence_Shore,8,"If asset is extremelyexposed, or the Shoreprovides structuralstability or erosionprotection to the areaon which the asset isfounded."
Dock_Access Strip,9,NULL
Dock_Access Strip,3,"If an alternate access isavailable, for operationof the asset."
Dock_Apron,5,NULL
Dock_Apron,3,If apron structure is ofminor significance andfailure will not induceasset failure.
Dock_Bollard,3,NULL
Dock_Bollard,6,If element plays a safetycritical role
Dock_Chamber,3,NULL
Dock_Cill,9,NULL
Dock_Cill,7,If gate is used to retainwater intermittently forshort periods (e.g. formovement of boats)
Dock_Dock Face,8,NULL
Dock_Gantry,1,NULL
Dock_Gantry,5,If failure wouldcompromise operation.
Dock_Ladder,3,NULL
Dock_Ladder,5,"if element is consideredcritical to access, egressor security or to theoverall asset function."
Dock_Left Bank Wall,6,NULL
Dock_Left Bank Wall,4,If asset is minor andfailure will notcompromise operation.
Dock_Lock Gate,9,NULL
Dock_Mooring Point,6,NULL
Dock_Mooring Point,9,If element is asingle/only mooringpoint or critical fornavigation oroperational access
Dock_Pump,NULL,NULL
Dock_Right Bank Wall,6,NULL
Dock_Right Bank Wall,4,If asset is minor andfailure will notcompromise operation.
Dock_Roof,8,NULL
Dock_Roof,9,If element is critical forsecurity or building is ofmajor significance
Dock_Service Pedestal,2,NULL
Dock_Water Point,NULL,NULL
Dolphin_Bearing Piling,9,NULL
Dolphin_Gantry,1,NULL
Dolphin_Gantry,5,If failure wouldcompromise operation.
Dolphin_Mooring Point,6,NULL
Dolphin_Mooring Point,9,If element is asingle/only mooringpoint or critical fornavigation oroperational access
Dolphin_Piling,9,NULL
Draw Off Tower_Gantry,1,NULL
Draw Off Tower_Gantry,5,If failure wouldcompromise operation.
Draw Off Tower_Intake Tower,9,NULL
Draw Off Tower_Pipe,6,NULL
Draw Off Tower_Pipe,9,If full functionality ofthe assets is dependentsolely on the pipe beingassessed.
Draw Off Tower_Pipe Valve,6,NULL
Draw Off Tower_Pipe Valve,9,if on a pipe that iscritical to the assetoperation and can't bebypassed and isolated.
Draw Off Tower_Treads and Risers,3,NULL
Draw Off Tower_Treads and Risers,7,if required foroperational access.
Dunes_Active Zone,6,NULL
Dunes_Active Zone,8,if Asset is extremelyexposed or its widthsufficiently narrow thatit could be erodedwithin 3 months.
Dunes_Boardwalk,4,NULL
Dunes_Boardwalk,9,If extent of dune systemis narrow and noalternative / diversionroute is available.
